img_name,google_cos_error
3101,231.0
3102,539.0
3103,834.0
3104,2806.0
3105,608.0
3106,274.0
3107,502.0
3108,772.0
3109,591.0
3110,1127.0
3111,427.0
3112,832.0
3113,638.0
3114,628.0
3115,1256.0
3116,1099.0
3117,1646.0
3118,519.0
3119,2395.0
3120,705.0
3121,569.0
3122,109.0
3123,457.0
3124,2016.0
3125,18.0
3126,601.0
3127,97.0
3128,784.0
3129,534.0
3130,268.0
3131,229.0
3132,366.0
3201,904.0
3202,409.0
3203,291.0
3204,222.0
3205,342.0
3206,744.0
3207,314.0
3208,190.0
3209,192.0
3210,415.0
3211,288.0
3212,908.0
3214,222.0
3216,1281.0
3217,1305.0
3218,576.0
3219,218.0
3220,226.0
3221,924.0
3222,787.0
3223,413.0
3224,132.0
3225,204.0
3226,1091.0
3227,248.0
3228,2733.0
3229,544.0
3230,346.0
3231,246.0
3232,410.0
3234,635.0
3235,3741.0
3236,8482.0
3237,387.0
3238,337.0
3239,232.0
3240,2325.0
3241,105.0
3243,768.0
3244,401.0
3245,456.0
3246,612.0
3247,283.0
3248,47.0
5101,924.0
5102,683.0
5103,450.0
5104,811.0
5105,885.0
5106,125.0
5107,299.0
5108,350.0
5109,1401.0
5110,1158.0
5111,248.0
5112,233.0
5113,1951.0
5114,708.0
5115,501.0
5116,356.0
5117,687.0
5118,412.0
5119,1103.0
5120,172.0
5121,372.0
5122,516.0
5123,682.0
5124,203.0
5125,1003.0
5126,1044.0
5129,150.0
5130,179.0
5131,254.0
5132,423.0
5202,1466.0
5203,811.0
5204,566.0
5205,161.0
5206,82.0
5207,495.0
5208,590.0
5209,172.0
5210,449.0
5213,460.0
5214,351.0
5215,619.0
5216,512.0
5217,283.0
5218,100.0
5219,20.0
5220,650.0
5221,1324.0
5222,332.0
5223,670.0
5224,333.0
5225,389.0
5227,213.0
5228,171.0
5229,305.0
5230,54.0
5232,317.0
5233,853.0
5234,337.0
5235,81.0
5236,383.0
5237,599.0
5238,529.0
5239,165.0
5240,349.0
5241,1546.0
5242,255.0
5243,306.0
5244,297.0
5245,85.0
5246,423.0
5247,290.0
5248,973.0
5249,99.0
5250,284.0
5251,737.0
5252,947.0
5253,285.0
5254,662.0
5255,360.0
5256,633.0
5257,580.0
5258,221.0
5259,80.0
5260,798.0
5261,337.0
5262,364.0
5263,196.0
5264,4691.0
